,Synap_1,Synap_2,VGlut1_1,VGlut1_2,VGlut2,VGlut3,PSD,Glur2,NMDAR,NR2B,GAD,Vgat,PV,Gephryn,GABAR,GABABR,CR1,5HT1A,NOS,TH,VAChT,Synpod,Tubulin,DAPI
Raw,0.091821364,0.108732172,0.320882632,0.149166316,0.110995972,0.18972386,0.254427251,0.172506118,0.30439507,0.243945375,0.033663971,0.169202511,0.00047902,0.245387206,0.349537352,1,0.087335109,0.087463383,0.140183536,0.211980191,0.073915374,0.047661003,-0.031701617,-0.011754628
Non-max Supp,0.019455515,0.009581838,0.041979897,0.02173991,0.020973795,0.010391951,0.021964482,0.045175202,0.014446914,0.019561758,0.001743646,0.026248555,1.99E-05,0.007580638,0.048751543,1,0.008954442,0.022421836,0.007014107,0.00895471,0.007602067,0.004131682,0.000193733,0.002069027
Dist Mean,4.337035165,4.299064237,4.057007859,3.910573573,3.678449728,3.599625642,3.976929378,4.275822963,3.977792553,4.227647161,4.894089404,4.322375772,6.811985264,4.088379931,3.749756225,0,4.120185062,4.179981462,4.033132322,3.944181633,4.17876351,4.653366497,4.886328477,3.751793648
log(Dist + 1) Mean,1.542818757,1.563422678,1.462108445,1.465978664,1.430079868,1.428471215,1.487191116,1.508206359,1.494288402,1.537338589,1.681935649,1.55105995,1.683020258,1.530142845,1.411491987,0,1.53064641,1.527678288,1.521565264,1.499210378,1.543517726,1.636763383,1.685602544,1.468267327
Dist Median,4.123105626,4.123105626,4,3.605551275,3.605551275,3.16227766,4,4.123105626,4,4.123105626,5,4.123105626,4.472135955,4,3.605551275,0,4,4.123105626,4,3.605551275,4.123105626,4.472135955,5,3.605551275
,,,,,,,,,,,,,,,,,,,,,,,,
With Actual Distances,,,,,,,,,,,,,,,,,,,,,,,,
Mean,260.884241,227.4800854,239.9789502,219.1876907,219.3127244,209.8322732,227.0291067,228.8667782,245.8916484,247.8671157,286.5819821,260.067968,308.2965484,334.0294268,243.2348551,0,288.4728449,265.003781,238.4136392,225.8703989,294.8045558,269.4063796,299.4759214,744.8508421
Median,232.594067,223.6067977,211.896201,211.896201,211.896201,210,223.6067977,223.6067977,234.3074903,234.3074903,290,253.179778,306.757233,323.8826948,234.3074903,0,290,253.179778,234.3074903,223.6067977,291.3760457,263.8181192,291.3760457,721.1102551
